Project Name,Country,Country Full Name,Region,Date Online,Status,Technology Category,Production Technology,Carbon Capture,Type of Electricity Used for Production,Hydrogen Product,End Use,IEA zero-carbon estimated normalized capacity,Electricty Used Color(Feedstock),Latitude,Longitude
Tokyu Construction Institute of Technology,JPN,Japan,Asia and Pacific,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Power,1,Pink - Nuclear,36.204824,138.252924
Rakuten Seimei Park Miyagi,JPN,Japan,Asia and Pacific,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Combined Heat and Power,1,Pink - Nuclear,36.204824,138.252924
"MicroPyros, Altenstant",DEU,Germany,Europe,2018,Operational,Electrolysis,Unknown PtX,No,Other,CH4,CH4 Grid Injection,0.25,Green - Renewables,51.165691,10.451526
Oxelösund Forklifts,SWE,Sweden,Europe,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Transportation,,Pink - Nuclear,60.128161,18.643501
H21 North of England,GBR,United Kingdom,Europe,2035,Feasibility study,Natural Gas,Autothermal Reforming,Yes,Other,H2,Refining,2507528.86,Grey - Nat Gas Reforming,55.378051,-3.435973
"Hynet Northwest, phase 1 (Essar Stanlow refinery)",GBR,United Kingdom,Europe,2026,Feasibility study,Natural Gas,Autothermal Reforming,Yes,Other,H2,Refining,125376.44,Grey - Nat Gas Reforming,55.378051,-3.435973
"Baicheng, Jilin wind-solar project",CHN,China,Asia and Pacific,2035,Concept,Electrolysis,Unknown PtX,No,Other,H2,Refining,,Green - Renewables,35.86166,104.195397
"Alzey, Exytron Null-E",DEU,Germany,Europe,2017,Operational,Electrolysis,Alkaline Electrolysis,No,Other,H2,Power,13.59,Green - Renewables,51.165691,10.451526
Energy observer,FRA,France,Europe,2017,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Transportation,9,Pink - Nuclear,46.227638,2.213749
Haldor Topsoe - El-Opgraderet Biogas II,DNK,Denmark,Europe,2017,DEMO,Electrolysis,Solid Oxide Electrolysis Cells,No,Other,CH4,CH4 Grid Injection,10,Yellow - Mixed Origin Grid Energy,56.26392,9.501785
Musashi-Mizonokuchi Station,JPN,Japan,Asia and Pacific,2017,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Power,1,Pink - Nuclear,36.204824,138.252924
"H2One - Hydrogen Application Center, Fuchu Complex",JPN,Japan,Asia and Pacific,2017,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Transportation,1,Pink - Nuclear,36.204824,138.252924
H2One - Asahi Breweries in Ibaraki,JPN,Japan,Asia and Pacific,2017,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Transportation,1,Pink - Nuclear,36.204824,138.252924
